Title,Author,Quantity,Price,Location,Isbn,EditionYear,Publisher,Edition,Cover,Subject,Pages,Language,Display
Vedio Night In Kathmandu,Pico Iyer,1,595,RR15,,2016,Black Swan,General,Soft Cover,Travel,,English,General
Mustang A Lost Tibetan Kingdom,Michel Peissel,1,795,RR15,,2009,Pilgrims Books,General,Soft Cover,Anthropology,,English,General
Jack And Berry & The Yak And Yeti,Simon Arthy,2,595,RR15,,2015,Pilgrims Books,General,Soft Cover,Picture Book,,English,General
Namaste,Diana Cohn,1,595,RR15,9.78935E+12,2015,Pilgrims Books,General,Soft Cover,Picture Book,,English,General
Birds Of Nepal,Richard Grimmett,1,1495,RR15,,2015,Bloomsbury,General,Soft Cover,Birds,,English,General
A History Of Nepal,John Whelpton,1,795,RR15,9.78052E+12,2005,Cambridge,General,Soft Cover,History,,English,General
What Makes You Not A Buddhist,Dzongsar Jamyang Khyentse,1,595,RR15,9.78819E+12,2009,Timeless Books,General,Soft Cover,Buddhism,,English,General
Sikkim Requiem For A Himalayan Kingdom,Andrew Duff,1,795,RR15,,2017,Penguin Books,General,Soft Cover,Non-Fiction,,English,General
The Bookseller of Kabul,Asne Seierstad,1,640,RR15,9.78032E+12,10/26/2004,Back Bay Books,General,Soft Cover,Biography & Autobiography,297,English,General
Small is Beautiful,Ernst Friedrich Schumacher,1,795,RR15,9.7801E+12,1973,Vintage,General,Soft Cover,Economics,286,English,General
Be As You Are,"Sri Ramana Maharshi,David Godman",1,495,RR15,9.78014E+12,9/29/1988,Penguin Books India,General,Soft Cover,"Body, Mind & Spirit",272,English,General
Massacre at the Palace,Jonathan Gregson,1,495,RR15,9.78079E+12,6/5/2002,Miramax Books,General,Soft Cover,Biography & Autobiography,255,English,General
From Goddess to Mortal,"Rashmila Shakya,Scott Berry",1,595,RR15,9.78999E+12,2007,Vajra Bookshop,General,Soft Cover,Hinduism,152,English,General
India,Vidiadhar Surajprasad Naipaul,1,595,RR15,9.78075E+12,1991,Random House,General,Soft Cover,India,521,English,General
The Life of Milarepa,Lobsang Phuntshok Lhalungpa,1,495,RR15,8173030464,1997,South Asia Books,General,Soft Cover,Religion,220,English,General
Singing Bowls,Eva Rudy Jansen,2,695,RR15,9.78907E+12,12/1/1990,Red Wheel/Weiser,General,Soft Cover,Fiction,95,English,General
Notes from a Big Country,Bill Bryson,1,595,RR15,9.78055E+12,1999,Random House,General,Soft Cover,English fiction,398,English,General
Anthology Of Islamic Literature,James Kritzeck,1,995,RR15,,1964,Penguin Books,General,Soft Cover,RARE BOOKS,,English,General
The Great Gatsby,F. Scott Fitzgerald,1,2000,RR15,,1953,Charles Scribner's Sons Limited,General,Soft Cover,RARE BOOKS,,English,General
Great Escape Stories,Eric Williams,1,695,RR15,,1958,Penguin Books,General,Soft Cover,RARE BOOKS,,English,General
Theory of Literature,Rene Wellek,1,1995,RR15,,1963,A Peregrine Books,General,Soft Cover,RARE BOOKS,,English,General
Essays In Criticism,Matthew Arnold,1,1595,RR15,,1956,"Macmilliam And CO., Limited",General,Soft Cover,RARE BOOKS,,English,General
Lord of the Flies,William Golding,1,995,RR15,571084834,1983,Faber & Faber Company LTD.,General,Soft Cover,Boys,243,English,General
Joie Damour,Annie Marie Villefranche,1,395,RR15,9.78035E+12,1921,Annie Marie Villefranche Limited,General,Soft Cover,General Fiction,,English,General
Three Restoration Comedies,Gamini Salgado,1,595,RR15,014043027x,1968,Penguin UK,General,Soft Cover,Drama,365,English,General
The Red Badge of Courage and Selected Stories,"Stephen Crane,Robert Wooster Stallman",1,295,RR15,451515927,1980,Signet Classics,General,Soft Cover,Fiction,222,English,General
The Tale of Genji,Murasaki Shikibu,1,695,RR15,679729534,1990,Vintage,General,Soft Cover,Fiction,360,English,General
A Midsummer Night's Dream,"William Shakespeare,Helen Hackett",1,595,RR15,141012609,4/7/2005,Penguin UK,General,Soft Cover,Literary Criticism,129,English,General
Collected Short Stories Volume Two,William Somerset Maugham,1,495,RR15,9.78075E+12,1997,Vintage,General,Soft Cover,RARE BOOKS,532,English,General
Collected Short Stories Volume Four,W. S. Maugham,1,495,RR15,749303484,1993,Mandarine Ltd,General,Soft Cover,RARE BOOKS,,English,General
The Memoirs Of Jacques Casanova,Victor Candell,1,9995,RR15,,1932,The Sun Dial Press,General,Hard Cover,RARE BOOKS,,English,General
Aristotle's Art Of Poetry A Greek View Of Poetry And Drama,W. Hamilton Fyee,1,1450,RR15,,1952,The Clarendon Press,General,Hard Cover,RARE BOOKS,,English,General
The Selected Poems of Emily Dickinson,Emily Dickinson,1,495,RR15,345472411,9/28/2004,Modern Library,General,Soft Cover,poetry,298,English,General
Lorca A Collection Of Critical Essays,Manuel Duran,1,3995,RR15,,1962,Prentice Hall,General,Hard Cover,RARE BOOKS,,English,General
The Poetical Works Of Edmund Spenser,J. C. Smith,1,1895,RR15,,1959,Oxford University Press,General,Hard Cover,RARE BOOKS,,English,General
Selected Works in Two Volumes: Poetry,Aleksandr Sergeevich Pushkin,1,1195,RR15,5050005434,1985,,General,Hard Cover,Russian literature,247,English,General
The Novelettes Of Honore De Balzac In One Volume,Walter J. Black,1,2995,RR15,,1926,Walter J. Black Publication,General,Hard Cover,RARE BOOKS,,English,General
Keats Poetical Works,H. W. Garrod,1,1795,RR15,,1979,Book Club Associates,General,Soft Cover,poetry,,English,General
Poetry March 2008,Terrance Hayes,1,395,RR15,,2008,Harriet Monroe,General,Soft Cover,poetry,,English,General
Murder in the Cathedral,T. S. Eliot,1,2995,RR15,,1938,Faber & Faber Company LTD.,General,Hard Cover,RARE BOOKS,,English,General
The Poems Of Percy Bysshe Shelley Including Materials Never Before Printed In Any Edition Of The Poems,Thomas Hutchinson,1,30000,RR15,,1912,Oxford University Press,General,Soft Cover,RARE BOOKS,,English,General
Stories and Collected Poems,Stephen Crane,1,595,RR15,,1997,Quality PaperBack Book Club,General,Soft Cover,RARE BOOKS,,English,General
The Wordsworth Book of Love Poetry,Ella Masson,1,495,RR15,1853264458,1995,Wordsworth Editions Limited,General,Soft Cover,poetry,351,English,General
